Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,vapourism.co.uk,vapeuk.co.uk,vapeshop.co.uk,totallywicked-eliquid.co.uk,vapourism.co.uk (pages),vapeuk.co.uk (pages),vapeshop.co.uk (pages),totallywicked-eliquid.co.uk (pages),Results
nic salt liquid,"Commercial, Informational",210,37,0.00,0.00,0,1,3,20,,https://vapeuk.co.uk/e-liquids/nicotine-salt-e-liquids,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/nicotine-salts,12800000
nicotine free vape near me,Transactional,210,48,0.00,0.00,0,11,22,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,26600000
nicotine puches,"Commercial, Informational",210,39,0.00,0.00,0,15,82,34,,https://vapeuk.co.uk/alternatives/nicotine-pouches,https://www.vapeshop.co.uk/collections/nicotine-pouches,https://www.totallywicked-eliquid.co.uk/oral-nicotine/nicotine-pouches,14900000
nicotine vapes uk,Commercial,210,88,0.00,0.00,0,1,10,9,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,6350000
ok vape starter kit,"Informational, Transactional",210,5,0.00,0.00,0,26,51,45,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/vape-sale,3690000
order cigarette online,Transactional,210,27,0.00,0.00,0,76,98,66,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,70300000
oxva vape price,Transactional,210,21,0.00,0.00,0,12,28,65,,https://vapeuk.co.uk/vape-kits/oxva-vape-kits,https://www.vapeshop.co.uk/collections/oxva,https://www.totallywicked-eliquid.co.uk/,2240000
oxva xlim vape,"Commercial, Informational",210,17,0.00,0.00,0,1,15,76,,https://vapeuk.co.uk/oxva-xlim-go-pod-vape-kit,https://www.vapeshop.co.uk/collections/oxva,https://www.totallywicked-eliquid.co.uk/,2710000
peach vape,Informational,210,9,0.00,0.00,0,8,13,9,,https://vapeuk.co.uk/elf-bar-elfliq-peach-ice-nic-salt,https://www.vapeshop.co.uk/products/juicy-peach-hayati-pro-max-refill-pack,https://www.totallywicked-eliquid.co.uk/juicy-peach-lost-mary-bm6000-kit,10000000
pink lemonade vape juice,Informational,210,9,0.00,0.00,0,4,13,7,,https://vapeuk.co.uk/lost-mary-maryliq-pink-lemonade-nic-salt,https://www.vapeshop.co.uk/products/pink-lemonade-nic-salt-by-ske-crystal-10ml,https://www.totallywicked-eliquid.co.uk/vltz-e-liquid-pink-lemonade,2590000
pink lost mary,Informational,210,8,0.00,0.04,0,13,46,1,,https://vapeuk.co.uk/lost-mary-maryliq-pink-lemonade-nic-salt,https://www.vapeshop.co.uk/products/pink-lemonade-lost-mary-4in1-pods,https://www.totallywicked-eliquid.co.uk/lost-mary-bm600-prefilled-pod-kit-pink-lemonade,211000000
pods vape,Commercial,210,31,0.00,0.00,0,1,33,22,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeshop.co.uk/collections/replacement-pods-capsules,https://www.totallywicked-eliquid.co.uk/,43400000
pound liquid,"Commercial, Navigational",210,34,0.00,0.00,0,19,52,35,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/eliquid,https://www.totallywicked-eliquid.co.uk/e-liquids,286000000
rechargeable vapes with pods,Commercial,210,21,0.00,0.00,0,1,29,4,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/collections/ske-crystal-plus,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/lost-mary-pod-kits,3320000
red vape,Informational,210,40,0.00,0.00,0,14,54,5,,https://vapeuk.co.uk/kingston-red-a,https://www.vapeshop.co.uk/collections/ivg-2400,https://www.totallywicked-eliquid.co.uk/red-label-e-liquid,110000000
refilable vape,Commercial,210,17,0.00,0.00,0,1,17,8,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/collections/refillable-vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/vape-pod-kits/refillable-pod-vape-kits,22700000
refillable vape kit,Commercial,210,24,0.00,0.00,0,2,29,4,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/collections/ske-crystal-plus,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,3840000
refillable vapes uk,Commercial,210,28,0.00,0.00,0,2,30,8,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,1710000
reusable vape pen,Commercial,210,31,0.00,0.00,0,4,59,1,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/pen-style-vape-kits,2950000
reuseable vape,Commercial,210,22,0.00,0.00,0,6,28,8,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits?p=2,10
same day delivery ecig liquid,"Commercial, Informational",210,53,0.00,0.02,0,1,57,19,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/delivery,https://www.totallywicked-eliquid.co.uk/,487000
side 600 pro,"Commercial, Informational",210,8,0.00,0.00,0,5,2,3,,https://vapeuk.co.uk/ske-crystal-bar-600-pro-prefilled-pods,https://www.vapeshop.co.uk/collections/ske-600-pro,https://www.totallywicked-eliquid.co.uk/ske-600-pro-pod-x-2,436000000
side bar vape,Navigational,210,8,0.00,0.00,0,6,7,5,,https://vapeuk.co.uk/ske-crystal-bar-disposable-kit,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/vaped/the-ultimate-guide-to-crystal-bar-vapes/,27300000
sike bar,Navigational,210,11,0.00,0.01,0,4,15,5,,https://vapeuk.co.uk/ske-bar-600-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/ske-600-pro,https://www.totallywicked-eliquid.co.uk/vaped/the-ultimate-guide-to-crystal-bar-vapes/,10
sike crystal bar,Navigational,210,22,0.00,0.30,0,8,13,3,,https://vapeuk.co.uk/ske-crystal-bar-600-pro-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/ske-crystal-cl6000,https://www.totallywicked-eliquid.co.uk/vaped/the-ultimate-guide-to-crystal-bar-vapes/,103000
sike vape,Informational,210,22,0.00,0.00,0,7,10,8,,https://vapeuk.co.uk/ske-crystal-plus-refillable-pod-vape-kit,https://www.vapeshop.co.uk/collections/ske-crystal-plus,https://www.totallywicked-eliquid.co.uk/ske-crystal-vape-4-in-1,43300
ske crystal vape pods,Informational,210,13,0.00,0.00,0,8,17,3,,https://vapeuk.co.uk/ske-crystal-plus-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/ske-crystal-plus,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/ske-crystal-pod-kits,1700000
ske disposable vape,"Commercial, Informational",210,21,0.00,0.00,0,5,13,4,,https://vapeuk.co.uk/vendors/ske,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/brands/ske,1730000
sky crystal vape,"Commercial, Informational",210,11,0.00,0.00,0,6,14,5,,https://vapeuk.co.uk/ske-crystal-plus-refillable-pod-vape-kit,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/ske-crystal-vape-4-in-1,1620000
smok pens,"Commercial, Informational",210,6,0.23,0.82,0,12,15,44,,https://vapeuk.co.uk/smok-vape-pen-v2-kit-1,https://www.vapeshop.co.uk/collections/smok-vape-kits,https://www.totallywicked-eliquid.co.uk/,10
smok shop,Navigational,210,68,0.00,0.00,0,25,18,10,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,11700000
smok vape kits,Informational,210,10,0.00,0.00,0,33,37,59,,https://vapeuk.co.uk/vendors/smok,https://www.vapeshop.co.uk/collections/smok-vape-kits,https://www.totallywicked-eliquid.co.uk/,3210000
smokeless vape uk,"Commercial, Informational",210,36,0.00,0.00,0,9,47,11,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/go-smoke-free,347000
strawberry kiwi lost mary,"Commercial, Informational",210,15,0.00,0.00,0,17,61,2,,https://vapeuk.co.uk/bloody-mary-strawberry-kiwi-nic-salt,https://www.vapeshop.co.uk/collections/lost-mary-bm600,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000-refillable-pod-kit-strawberry-kiwi,1980000
sub ohm,Informational,210,20,0.00,0.00,0,1,19,8,,https://vapeuk.co.uk/vape-kits/sub-ohm-vape-kits,https://www.vapeshop.co.uk/collections/advanced-vape-kits,https://www.totallywicked-eliquid.co.uk/vape-guides/sub-ohm-vape-guide,26300000
the ecig shop,Navigational,210,85,0.00,0.00,0,17,22,19,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,25900000
the ecig store,"Commercial, Navigational",210,78,0.00,0.00,0,28,20,14,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,43000000
thevapeshop,"Commercial, Navigational",210,100,0.00,0.00,0,5,1,6,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,115000000
throw away vapes,Commercial,210,45,0.00,0.00,0,6,10,1,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/disposable-vape,11100000
titan 10k pods only price,Commercial,210,4,0.00,0.00,0,6,39,62,,https://vapeuk.co.uk/titan-10k-rechargeable-disposable-vape-kit,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,88
titan pods refill,"Commercial, Informational",210,9,0.00,0.01,0,3,54,21,,https://vapeuk.co.uk/titan-x-prefilled-pods,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/e-liquids/ranges/titan,549000
titan vape refills,"Commercial, Informational",210,11,0.00,0.00,0,1,18,12,,https://vapeuk.co.uk/titan-x-prefilled-pods,https://www.vapeshop.co.uk/collections/titan-x,https://www.totallywicked-eliquid.co.uk/e-liquids/ranges/titan,299000
tobacco vape liquid,"Commercial, Informational",210,16,0.00,0.00,0,3,17,9,,https://vapeuk.co.uk/flavours/cigarette-tobacco,https://www.vapeshop.co.uk/collections/tobacco-eliquid,https://www.totallywicked-eliquid.co.uk/e-liquids/flavour-types/tobacco,16800000
top 10 vapes uk,"Commercial, Informational",210,18,0.00,0.00,0,2,59,16,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/,10500000
triple mango lost mary,Informational,210,6,0.00,0.00,0,10,9,2,,https://vapeuk.co.uk/lost-mary-maryliq-triple-mango-nic-salt,https://www.vapeshop.co.uk/products/triple-mango-lost-mary-4in1-pods,https://www.totallywicked-eliquid.co.uk/triple-mango-lost-mary-bm6000-kit,2200000
triple mango vape,Informational,210,8,0.00,0.00,0,21,27,1,,https://vapeuk.co.uk/bar-juice-5000-triple-mango-nic-salt,https://www.vapeshop.co.uk/products/triple-mango-hayati-pro-max-refill-pack,https://www.totallywicked-eliquid.co.uk/triple-mango-lost-mary-bm6000-kit,1880000
uk ecig,Navigational,210,80,0.00,0.00,0,2,30,12,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,8860000
uk vape shop,Commercial,210,93,0.00,0.00,0,1,2,6,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,42500000
uk vapour brands,Navigational,210,26,0.00,0.00,0,13,15,14,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,4530000
ukecig,Navigational,210,91,0.00,0.00,0,3,38,11,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,9520000
vampirevape uk,Navigational,210,25,0.00,0.00,0,2,14,66,,https://vapeuk.co.uk/e-liquids/vampire-vape-e-liquids,https://www.vapeshop.co.uk/collections/vampire-vape,https://www.totallywicked-eliquid.co.uk/,1510000
vanilla vapes,Commercial,210,17,0.00,0.00,0,98,27,42,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeshop.co.uk/products/vapemate-classic-very-vanilla,https://www.totallywicked-eliquid.co.uk/red-label-e-liquid-vanilla,2960000
vap shop,Commercial,210,61,0.00,0.00,0,2,1,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,9
vape 10000 puffs,"Commercial, Informational",210,13,0.00,0.00,0,43,74,87,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/ivg-pro-12,https://www.totallywicked-eliquid.co.uk/,3220000
vape alternatives,Informational,210,12,0.00,0.00,0,1,9,13,,https://vapeuk.co.uk/alternatives,https://www.vapeshop.co.uk/collections/vape-alternatives,https://www.totallywicked-eliquid.co.uk/vaped/disposable-vape-alternatives-preparing-for-the-ban/,7
vape and juice,Navigational,210,70,0.00,0.00,0,3,42,7,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/eliquid,https://www.totallywicked-eliquid.co.uk/,34100000
vape batteries 18650,Commercial,210,16,0.00,0.00,0,13,58,15,,https://vapeuk.co.uk/vapcell-k25-18650-battery,https://www.vapeshop.co.uk/collections/vape-batteries,https://www.totallywicked-eliquid.co.uk/e-cig-batteries/battery-types/batteries,1610000
vape cost,Commercial,210,53,0.00,0.00,0,7,8,2,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/disposable-vape,64700000
vape flavours crystal,"Commercial, Informational",210,7,0.00,0.00,0,17,15,8,,https://vapeuk.co.uk/ske-crystal-bar-disposable-kit,https://www.vapeshop.co.uk/collections/ske-crystal-bar-disposable-vapes,https://www.totallywicked-eliquid.co.uk/ske-crystal-vape-4-in-1,1760000
vape flavours uk,"Commercial, Informational",210,49,0.00,0.00,0,1,12,7,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/e-liquids,3070000
vape for sale,Transactional,210,72,0.00,0.00,0,2,17,12,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/all-clearance,https://www.totallywicked-eliquid.co.uk/,127000000
vape liquid elux,"Commercial, Informational",210,21,0.00,0.00,0,14,58,7,,https://vapeuk.co.uk/e-liquids/elux-nic-salts/elux-legend-nic-salt-e-liquids,https://www.vapeshop.co.uk/collections/elux-legend-nic-salt-eliquids,https://www.totallywicked-eliquid.co.uk/,1940000
vape liquid flavours,"Commercial, Informational",210,40,0.00,0.00,0,11,17,5,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/pages/e-liquid-flavours,https://www.totallywicked-eliquid.co.uk/e-liquids,5210000
vape liquid next day delivery,Informational,210,83,0.00,0.00,0,1,56,18,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/delivery,https://www.totallywicked-eliquid.co.uk/,53000000
vape mod kits,Commercial,210,17,0.00,0.00,0,14,19,29,,https://vapeuk.co.uk/vape-kits/sub-ohm-vape-kits,https://www.vapeshop.co.uk/collections/vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/box-mod-kits,3430000
vape pod system,Commercial,210,19,0.00,0.00,0,1,91,11,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeshop.co.uk/collections/pod-and-compact-vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/vape-pod-kits,11200000
vape pods uk,Commercial,210,32,0.00,0.00,0,1,35,7,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,5210000
vape refillable pods,Commercial,210,21,0.00,0.00,0,2,23,8,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/collections/replacement-pods-capsules,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/vape-pod-kits,3970000
vape sales,Transactional,210,59,0.00,0.00,0,3,4,10,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/all-clearance,https://www.totallywicked-eliquid.co.uk/,40500000
vape sales uk,Transactional,210,65,0.00,0.00,0,2,3,6,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/all-clearance,https://www.totallywicked-eliquid.co.uk/,12500000
vape salts,Informational,210,32,0.00,0.00,0,1,14,12,,https://vapeuk.co.uk/e-liquids/nicotine-salt-e-liquids,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/nicotine-salts,6490000
vape shop basildon,Commercial,210,11,0.00,0.00,0,45,35,2,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/stores/basildon-e-cig-vape-store,21400
vape shop bath,Commercial,210,30,0.00,0.00,0,48,31,20,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/stores/southdown-e-cigs-e-liquid-bargain-booze,7260000
vape shop discount code,Transactional,210,8,0.00,0.00,0,93,1,91,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/subscribe-and-save,https://www.totallywicked-eliquid.co.uk/,12600000
vape shop mear me,Transactional,210,65,0.00,0.00,0,12,3,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/stores,90200000
vape shop street,Navigational,210,91,0.00,0.00,0,74,8,10,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,31300000
vape shop witney,Commercial,210,16,0.00,0.00,0,30,20,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/stores/witney-e-cig-shop-cartridge-uk,19000
vape uk brighton,"Informational, Transactional",210,19,0.00,0.00,0,1,68,15,,https://vapeuk.co.uk/vape-shop-brighton,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,316000
vape with no nicotine,Commercial,210,18,0.00,0.00,0,30,82,48,,https://vapeuk.co.uk/disposable-vapes/nicotine-free-disposable-vape-kits,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/,106000000
vape yk,"Commercial, Navigational",210,97,0.00,0.00,0,1,35,4,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,110000000
vaped,Informational,210,60,0.00,0.00,0,2,37,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,756000
vapekit discount code,Transactional,210,6,0.00,0.00,0,82,67,58,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,560000
vaperesso vape,"Commercial, Informational",210,49,0.00,0.00,0,6,12,35,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,8000000
vapes flavours,Informational,210,28,0.00,0.00,0,8,5,7,,https://vapeuk.co.uk/flavours,https://www.vapeshop.co.uk/pages/e-liquid-flavours,https://www.totallywicked-eliquid.co.uk/e-liquids/flavour-types,35800000
vapes with nicotine,"Commercial, Informational",210,83,0.00,0.00,0,2,3,8,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,63000000
vapes with pods,Commercial,210,26,0.00,0.00,0,1,43,7,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeshop.co.uk/collections/new-pods,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/vape-pod-kits/4-in-1-pod-kits,12000000
vapeshop near me,Transactional,210,57,0.00,0.00,0,6,1,2,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/,9710000
vapestore.co.uk discount code,"Commercial, Informational",210,9,0.00,0.00,0,63,38,53,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/subscribe-and-save,https://www.totallywicked-eliquid.co.uk/,131000
vapeuk discount code,Informational,210,10,0.00,0.00,0,2,61,39,,https://vapeuk.co.uk/special-offers,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,48100
vaporesso at check,Informational,210,11,0.00,0.00,0,38,69,2,,https://vapeuk.co.uk/troubleshooting-common-vaping-problems,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/vaped/how-to-fix-no-atomizer-or-check-atomizer-on-your-e-cig/,1940000
vaporesso gen max,Informational,210,14,0.00,0.00,0,92,87,77,,https://vapeuk.co.uk/vaporesso-armour-max-kit,https://www.vapeshop.co.uk/products/vaporesso-armour-max-vape-kit,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,885000
vaporesso how to refill,Informational,210,7,0.00,0.00,0,45,51,54,,https://vapeuk.co.uk/vape-coils-and-pods/vaporesso-coils,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,1720000
vaporesso pink,Informational,210,8,0.00,0.00,0,5,42,62,,https://vapeuk.co.uk/vaporesso-xros-4-mini-pod-vape-kit,https://www.vapeshop.co.uk/products/vaporesso-xros-2-vape-kit,https://www.totallywicked-eliquid.co.uk/,3500000
vaporesso vape uk,Informational,210,53,0.00,0.00,0,1,26,14,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,2140000
vaporesso xros 4 review,Commercial,210,8,0.00,0.00,0,32,92,94,,https://vapeuk.co.uk/vaporesso-xros-4-mini-pod-vape-kit,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,1170000
vaporizers uk,Commercial,210,65,0.00,0.00,0,13,86,10,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,130000000
vuse charger,"Informational, Transactional",210,18,0.00,0.00,0,93,24,62,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/collections/chargers,https://www.totallywicked-eliquid.co.uk/,685000
vuse disposable vapes,"Commercial, Informational",210,19,0.00,0.00,0,36,7,47,,https://vapeuk.co.uk/vuse-go-disposable-kit,https://www.vapeshop.co.uk/collections/vuse-go-disposable-vapes,https://www.totallywicked-eliquid.co.uk/,2200000
vuse go disposable,"Commercial, Informational",210,19,0.00,0.04,0,26,6,61,,https://vapeuk.co.uk/vuse-go-edition-01-disposable-vape-kit,https://www.vapeshop.co.uk/collections/vuse-go-disposable-vapes,https://www.totallywicked-eliquid.co.uk/,2050000
vuse go uk,"Commercial, Informational",210,16,0.00,0.23,0,12,22,37,,https://vapeuk.co.uk/vuse-go-edition-01-disposable-vape-kit,https://www.vapeshop.co.uk/collections/vuse-go-disposable-vapes,https://www.totallywicked-eliquid.co.uk/,992000
vuse mint ice pods,Informational,210,15,0.00,0.03,0,65,6,78,,https://vapeuk.co.uk/vape-pods,https://www.vapeshop.co.uk/products/mint-ice-vuse-pro-pods,https://www.totallywicked-eliquid.co.uk/,975000
vuse pen,"Informational, Transactional",210,22,0.00,0.00,0,52,12,51,,https://vapeuk.co.uk/vendors/vuse,https://www.vapeshop.co.uk/products/vuse-go-reload-vape-pen,https://www.totallywicked-eliquid.co.uk/,2840000
vuse.com uk,Navigational,210,22,0.00,0.00,0,12,13,26,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/vuse,https://www.totallywicked-eliquid.co.uk/,84
xros pro pods,"Commercial, Informational",210,11,0.00,0.00,0,3,96,98,,https://vapeuk.co.uk/vaporesso-xros-pro-pod-vape-kit,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,1770000
zero nicotine vape juice,"Commercial, Informational",210,6,0.00,0.00,0,56,35,28,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/,3550000
0 nic vape,"Commercial, Informational",170,10,0.00,0.00,0,6,23,21,,https://vapeuk.co.uk/disposable-vapes/nicotine-free-disposable-vape-kits,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,9750000
1 pound e liquid,"Commercial, Navigational",170,38,0.00,0.00,0,20,17,26,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/1-pound-eliquid,https://www.totallywicked-eliquid.co.uk/,4
3mg nicotine disposable vape,Commercial,170,9,0.00,0.00,0,4,12,25,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/disposable-vape,1690000
4 in 1 vape disposable,Commercial,170,14,0.00,0.00,0,23,27,1,,https://vapeuk.co.uk/pod-vape-kits/4-in-1-vapes,https://www.vapeshop.co.uk/products/elfbar-4in1-vape-kit,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,24200000
4 in one,"Commercial, Navigational",170,22,0.63,0.06,0,10,34,6,,https://vapeuk.co.uk/pod-vape-kits/4-in-1-vapes,https://www.vapeshop.co.uk/collections/4in1-pod-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/vape-pod-kits/4-in-1-pod-kits,16790000000
50 50 vape juice,Commercial,170,7,0.00,0.00,0,1,75,12,,https://vapeuk.co.uk/e-liquids/shortfill-e-liquids/50-50-shortfill-e-liquids,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/50-50-e-liquid,10
5k vape,"Commercial, Informational",170,6,0.00,0.00,0,7,22,46,,https://vapeuk.co.uk/elf-bar-af5000-disposable-vape-kit,https://www.vapeshop.co.uk/collections/pre-filled-pod-kits,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000,2370000
5mg nic salts,"Commercial, Informational",170,7,0.00,0.00,0,5,22,78,,https://vapeuk.co.uk/e-liquids/elf-bar-elfliq-nic-salt-e-liquids,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,https://www.totallywicked-eliquid.co.uk/,588000
6000 puff disposable vape,Informational,170,12,0.00,0.00,0,4,6,2,,https://vapeuk.co.uk/disposable-vapes/6000-puff-disposables,https://www.vapeshop.co.uk/products/hayati-pro-max-6000-puffs,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/big-puff-vapes/6000-puff-vapes,1990000
6000 puff vapes,"Commercial, Informational",170,15,0.00,0.00,0,9,5,1,,https://vapeuk.co.uk/disposable-vapes/6000-puff-disposables,https://www.vapeshop.co.uk/products/hayati-pro-max-6000-puffs,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/big-puff-vapes/6000-puff-vapes,1800000
