Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,vapourism.co.uk,vapeuk.co.uk,vapeclub.co.uk,vapestore.co.uk,vapeshop.co.uk,vapourism.co.uk (pages),vapeuk.co.uk (pages),vapeclub.co.uk (pages),vapestore.co.uk (pages),vapeshop.co.uk (pages),Results
voopoo pods,"Commercial, Informational",260,9,0.00,0.00,0,1,2,11,18,,https://vapeuk.co.uk/vape-coils-and-pods/voopoo-coils,https://www.vapeclub.co.uk/vape-pods/voopoo/,https://www.vapestore.co.uk/products/voopoo-ito-replacement-fixed-coil-pods,https://www.vapeshop.co.uk/products/voopoo-vinci-v2-replacement-pods-pack-of-3,5000000
voopoo uk,Informational,260,18,0.00,0.01,0,7,3,5,8,,https://vapeuk.co.uk/vendors/voopoo,https://www.vapeclub.co.uk/vape-kits/voopoo/,https://www.vapestore.co.uk/collections/brands-voopoo,https://www.vapeshop.co.uk/collections/voopoo,1980000
vuse disposable,"Commercial, Informational",260,17,0.00,0.00,0,0,0,0,27,,,,,https://www.vapeshop.co.uk/collections/vuse,2280000
vuse epen,Informational,260,16,0.00,0.00,0,9,32,24,44,,https://vapeuk.co.uk/vuse-epen-nic-salt-pods,https://www.vapeclub.co.uk/vape-pods/vuse/epen-starter-kit,https://www.vapestore.co.uk/products/vuse-golden-tobacco-epen-3-refill-pod,https://www.vapeshop.co.uk/collections/vuse-eliquid-caps-cartridges,92
vuse epod 2 refill,Informational,260,20,0.00,0.00,0,0,41,48,3,,,https://www.vapeclub.co.uk/vape-pods/,https://www.vapestore.co.uk/collections/e-liquid-vape-type-refills-and-pods-e-liquid,https://www.vapeshop.co.uk/collections/vuse-eliquid-caps-cartridges,81
vuse epods,"Informational, Transactional",260,18,1.09,0.95,0,0,21,0,5,,,https://www.vapeclub.co.uk/vape-kits/vuse/,,https://www.vapeshop.co.uk/collections/vuse-eliquid-caps-cartridges,2540000
vuse go creamy tobacco,"Informational, Transactional",260,15,0.00,0.05,0,89,32,0,12,,https://vapeuk.co.uk/vape-kits,https://www.vapeclub.co.uk/disposable-vape/vuse-bar/creamy-tobacco-vuse-go-1000-disposable-vape,,https://www.vapeshop.co.uk/collections/vuse-go-disposable-vapes,259000
vuse go edition 01,Informational,260,17,0.00,0.00,0,16,60,0,59,,https://vapeuk.co.uk/vuse-go-edition-01-disposable-vape-kit,https://www.vapeclub.co.uk/disposable-vape/vuse-bar/,,https://www.vapeshop.co.uk/collections/vuse,1100000
vuse pods near me,"Navigational, Transactional",260,22,0.00,0.03,0,0,65,0,11,,,https://www.vapeclub.co.uk/vape-pods/vuse/,,https://www.vapeshop.co.uk/collections/vuse-eliquid-caps-cartridges,2610000
vuse refillable pods,Informational,260,21,0.00,0.12,0,66,34,0,3,,https://vapeuk.co.uk/vape-kits,https://www.vapeclub.co.uk/vape-pods/refillable/,,https://www.vapeshop.co.uk/collections/vuse-eliquid-caps-cartridges,1190000
waterlooville town centre shops,Commercial,260,9,0.00,0.00,0,0,0,42,0,,,,https://www.vapestore.co.uk/,,452000
wenax vape,Informational,260,15,0.00,0.00,0,1,3,16,0,,https://vapeuk.co.uk/geekvape-wenax-q-pod-vape-kit,https://www.vapeclub.co.uk/vape-pods/geekvape/geekvape-wenax-m1-vape-kit,https://www.vapestore.co.uk/products/geekvape-wenax-s3-pod-kit-18w,,993000
what are e cigarettes,Informational,260,77,0.00,0.00,0,52,0,97,0,,https://vapeuk.co.uk/vape-kits,,https://www.vapestore.co.uk/,,239000000
what does kiwi taste like,Informational,260,34,0.00,0.00,0,95,0,0,0,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,,,,40400000
what does the coil do,Informational,260,40,0.00,0.00,0,25,0,0,0,,https://vapeuk.co.uk/a-guide-to-vape-coils,,,,288000000
what is a graham cracker in the uk,Informational,260,16,0.00,0.02,0,0,70,0,0,,,https://www.vapeclub.co.uk/e-liquids/graham-cracker/,,,3450000
what is a juul pod,Informational,260,25,0.00,0.00,0,0,0,35,53,,,,https://www.vapestore.co.uk/blogs/vaping-guides/what-is-juuling,https://www.vapeshop.co.uk/pages/juul2-pod-vape-device,4500000
what is e cigarette,Informational,260,83,0.00,0.00,0,41,0,0,0,,https://vapeuk.co.uk/vape-kits,,,,293000000
what is in vape liquid,Informational,260,21,0.00,0.00,0,33,53,5,48,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/e-liquids/elfliq/,https://www.vapestore.co.uk/blogs/new-to-vaping/what-are-e-liquids,https://www.vapeshop.co.uk/pages/what-nicotine-strength-e-liquid-do-i-need,53800000
what is the safest vape for your lungs,Informational,260,59,0.00,0.00,0,0,0,64,0,,,,https://www.vapestore.co.uk/,,4200000
what is tropical pop,Informational,260,24,0.00,0.00,0,0,21,0,0,,,https://www.vapeclub.co.uk/e-liquids/zeus-juice/proper-vape-salt/proper-vape-tropical-pop-nic-salt-e-liquid,,,141000000
whats in a vape,Informational,260,71,0.00,0.00,0,32,0,0,0,,https://vapeuk.co.uk/faqs,,,,123000000
when are they banning disposable vapes,Informational,260,34,0.00,0.00,0,41,25,45,0,,https://vapeuk.co.uk/blog/disposable-vape-ban-update,https://www.vapeclub.co.uk/how-to-vape-guide/disposable-vape-ban-2025,https://www.vapestore.co.uk/pages/disposable-vape-ban-june,,2430000
which vapes are being banned,Informational,260,17,0.00,0.00,0,30,11,0,0,,https://vapeuk.co.uk/blog/disposable-vape-ban-update,https://www.vapeclub.co.uk/how-to-vape-guide/disposable-vape-ban-2025,,,10600000
wildberries uk,Informational,260,28,0.00,0.03,0,18,0,0,0,,https://vapeuk.co.uk/solt-wild-berries-salt-nic-e-liquid,,,,83
wiz vape,Navigational,260,23,0.00,0.00,0,0,19,0,4,,,https://www.vapeclub.co.uk/e-liquids/wizmix/popular-vape,,https://www.vapeshop.co.uk/collections/wizmaxx,81
xlim pod,"Commercial, Informational",260,22,0.38,0.96,0,1,3,6,0,,https://vapeuk.co.uk/oxva-xlim-v3-replacement-pods,https://www.vapeclub.co.uk/vape-pods/oxva/oxva-xlim-v3-pod,https://www.vapestore.co.uk/products/oxva-xlim-top-fill-replacement-pods,,2840000
xlim pro pods,Commercial,260,16,0.24,0.82,0,2,6,3,0,,https://vapeuk.co.uk/oxva-xlim-v3-replacement-pods,https://www.vapeclub.co.uk/vape-pods/oxva/,https://www.vapestore.co.uk/products/oxva-xlim-top-fill-replacement-pods,,1610000
xqs snus,Transactional,260,9,0.00,0.00,0,0,31,0,50,,,https://www.vapeclub.co.uk/nicotine-pouches/xqs/tropical-xqs-nic-pouch,,https://www.vapeshop.co.uk/collections/xqs-nicotine-pouches,100
xros mini 3,"Commercial, Informational",260,13,0.00,0.01,0,1,2,4,0,,https://vapeuk.co.uk/vaporesso-xros-3-mini-pod-kit,https://www.vapeclub.co.uk/vape-pods/vaporesso/vaporesso-xros-3-mini-vape-kit,https://www.vapestore.co.uk/products/vaporesso-xros-3-mini-pod-kit,,2630000
xros mini 4,"Commercial, Informational",260,11,0.00,0.00,0,1,2,15,10,,https://vapeuk.co.uk/vaporesso-xros-4-mini-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/vaporesso/xros-4-mini-vape-kit-vaporesso,https://www.vapestore.co.uk/products/vaporesso-xros-4-mini-kit-1000mah,https://www.vapeshop.co.uk/products/vaporesso-xros-4-mini-vape-kit,2200000
your orders amazon uk,"Informational, Transactional",260,37,0.46,0.19,0,68,0,0,0,,https://vapeuk.co.uk/,,,,312000000
zyn cool mint,Informational,260,11,1.65,1.00,0,0,6,0,0,,,https://www.vapeclub.co.uk/nicotine-pouches/zyn/cool-mint-zyn-nicotine-pouch,,,3020000
zyn free sample,"Informational, Transactional",260,15,3.05,0.71,0,0,34,0,0,,,https://www.vapeclub.co.uk/nicotine-pouches/zyn/,,,251000
zyn tobacco,Informational,260,37,2.61,1.00,0,42,26,40,0,,https://vapeuk.co.uk/zyn-nicotine-pouches,https://www.vapeclub.co.uk/nicotine-pouches/zyn/,https://www.vapestore.co.uk/collections/brands-zyn-nicotine-pouches,,5200000
فيب,Informational,260,78,0.00,0.00,0,1,3,2,6,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,2030000
0 nic vapes,"Commercial, Informational",210,13,0.00,0.00,0,3,7,24,49,,https://vapeuk.co.uk/ske-bar-600-zero-nicotine-prefilled-pod-kit,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/e-liquid-nicotine-free,https://www.vapeshop.co.uk/collections/0mg,5150000
0 nicotine vape liquid,"Commercial, Informational",210,6,0.00,0.00,0,51,10,2,34,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/e-liquids/0mg-nicotine-free/,https://www.vapestore.co.uk/collections/e-liquid-nicotine-free,https://www.vapeshop.co.uk/collections/0mg,10800000
0.6 ohm coil wattage,Informational,210,5,0.00,0.00,0,43,0,9,0,,https://vapeuk.co.uk/a-guide-to-vape-coils,,https://www.vapestore.co.uk/blogs/vaping-guides/how-to-choose-the-right-vape-coils,,90
01923 code area,"Commercial, Informational",210,9,0.00,0.00,0,0,94,0,0,,,https://www.vapeclub.co.uk/,,,462000
1 million juices,Informational,210,28,0.00,0.07,0,0,37,0,0,,,https://www.vapeclub.co.uk/,,,278000000
1 pound liquid,"Commercial, Navigational",210,36,0.00,0.00,0,31,33,0,15,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/e-liquids/,,https://www.vapeshop.co.uk/collections/1-pound-eliquid,307000000
10 mg,Informational,210,28,0.00,0.00,0,0,10,45,0,,,https://www.vapeclub.co.uk/e-liquids/10mg/,https://www.vapestore.co.uk/collections/e-liquid-10mg,,1560000000
100k vape,"Commercial, Informational",210,4,0.00,0.00,0,41,82,53,81,,https://vapeuk.co.uk/titan-10k-rechargeable-disposable-vape-kit,https://www.vapeclub.co.uk/vape-kits/big-puff/,https://www.vapestore.co.uk/products/titan-10k-rechargeable-disposable-vape-kit-20mg,https://www.vapeshop.co.uk/collections/disposable-vape-kits,1530000
10mg,Informational,210,12,0.00,0.00,0,0,3,9,0,,,https://www.vapeclub.co.uk/e-liquids/10mg/,https://www.vapestore.co.uk/collections/e-liquid-10mg,,87900000
10ml in grams,Informational,210,18,0.00,0.00,0,77,0,0,0,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-refill-containers,,,,190000000
10ml to mg,Informational,210,21,0.00,0.00,0,81,0,0,0,,https://vapeuk.co.uk/pod-vape-kits/prefilled-pod-vape-kits,,,,211000000
10ml vape juice,"Commercial, Informational",210,20,0.00,0.00,0,44,10,43,2,,https://vapeuk.co.uk/vape-kits/2ml-10ml-vape-kits,https://www.vapeclub.co.uk/e-liquids/10ml-tpd-eliquid/,https://www.vapestore.co.uk/collections/10ml-e-liquids,https://www.vapeshop.co.uk/collections/10ml-eliquids,3630000
143 bar watford,Navigational,210,15,0.00,0.03,0,0,59,0,0,,,https://www.vapeclub.co.uk/,,,90
15 ks,Informational,210,18,0.00,0.00,0,0,94,0,0,,,https://www.vapeclub.co.uk/vape-pods/lost-mary-pods/nera/,,,621000000
15k flavours,Commercial,210,23,0.00,0.00,0,67,71,0,0,,https://vapeuk.co.uk/al-fakher-crown-bar-hypermax-15k-disposable-kit,https://www.vapeclub.co.uk/vape-pods/lost-mary-pods/,,,3910000
15k hayati flavours,Commercial,210,27,0.00,0.00,0,95,88,0,0,,https://vapeuk.co.uk/pod-vape-kits/prefilled-pod-vape-kits,https://www.vapeclub.co.uk/vape-pods/lost-mary-pods/,,,83600
18650 vape battery,"Informational, Transactional",210,23,0.00,0.00,0,8,3,13,79,,https://vapeuk.co.uk/vapcell-k25-18650-battery,https://www.vapeclub.co.uk/vape-batteries/18650-size/,https://www.vapestore.co.uk/collections/accessories-batteries-external-batteries-18650,https://www.vapeshop.co.uk/collections/18650-batteries,2250000
18k vape,Commercial,210,7,0.00,0.00,0,0,60,72,58,,,https://www.vapeclub.co.uk/vape-kits/,https://www.vapestore.co.uk/collections/pod-vape-kits-pre-filled-pod-kits,https://www.vapeshop.co.uk/collections/disposable-vape-kits,3500000
2 c,Informational,210,35,0.00,0.00,0,32,0,0,0,,https://vapeuk.co.uk/smok-novo-2c-pod-vape-kit,,,,10
2 nicotine in mg,Informational,210,15,0.00,0.00,0,20,29,0,37,,https://vapeuk.co.uk/e-liquids/nicotine-salt-e-liquids,https://www.vapeclub.co.uk/vape-kits/high-nicotine-eliquid/,,https://www.vapeshop.co.uk/pages/what-nicotine-strength-e-liquid-do-i-need,35100000
20mg,Informational,210,10,0.00,0.01,0,22,1,5,0,,https://vapeuk.co.uk/nic-nic-20mg-50-vg-flavourless-nic-salt-nicotine-shot,https://www.vapeclub.co.uk/e-liquids/20mg/,https://www.vapestore.co.uk/collections/e-liquid-20mg,,31300000
20mg snus,"Commercial, Informational",210,5,0.00,0.00,0,0,42,32,0,,,https://www.vapeclub.co.uk/nicotine-pouches/nois/mint-nois-nic-pouch,https://www.vapestore.co.uk/collections/nicotine-pouches,,93
20mg vape,Informational,210,7,0.00,0.00,0,18,1,12,42,,https://vapeuk.co.uk/nic-nic-20mg-50-vg-flavourless-nic-salt-nicotine-shot,https://www.vapeclub.co.uk/disposable-vape/20mg/,https://www.vapestore.co.uk/collections/e-liquid-20mg,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,8290000
20mg vape juice,"Commercial, Informational",210,7,0.00,0.00,0,7,1,25,27,,https://vapeuk.co.uk/e-liquids/shortfill-e-liquids/100ml-shortfill-e-liquids,https://www.vapeclub.co.uk/e-liquids/20mg/,https://www.vapestore.co.uk/collections/e-liquid-20mg,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,4040000
21700,"Informational, Transactional",210,12,0.79,0.99,0,59,45,57,0,,https://vapeuk.co.uk/vapcell-inr21700-battery,https://www.vapeclub.co.uk/vape-batteries/21700-size/,https://www.vapestore.co.uk/collections/accessories-batteries-external-batteries-21700,,13400000
21700 batteries,"Informational, Transactional",210,17,0.50,1.00,0,63,17,29,0,,https://vapeuk.co.uk/hohm-tech-run-21700-battery-dual-pack,https://www.vapeclub.co.uk/vape-batteries/21700-size/,https://www.vapestore.co.uk/collections/accessories-batteries-external-batteries-21700,,2830000
2400 / 4,Informational,210,16,0.00,0.00,0,9,42,18,0,,https://vapeuk.co.uk/ivg-2400-reload-4-in-1-multi-flavour-edition-prefilled-pods,https://www.vapeclub.co.uk/vape-kits/ivg-vape/ivg-2400-pod-kit,https://www.vapestore.co.uk/products/ske-crystal-2400-4in1-white-edition-multi-flavour-pods-20mg,,526000000
2400 4,"Commercial, Informational",210,11,0.00,0.00,0,6,0,7,15,,https://vapeuk.co.uk/ivg-2400-reload-4-in-1-multi-flavour-edition-prefilled-pods,,https://www.vapestore.co.uk/collections/brands-ske-crystal-bar-disposable-vape-crystal-2400-4in1,https://www.vapeshop.co.uk/collections/ivg-2400,587000000
30 70,Informational,210,46,0.00,0.00,0,0,95,0,0,,,https://www.vapeclub.co.uk/e-liquids/70-vg/,,,9240000000
3000 / 5,Informational,210,21,0.00,0.00,0,99,0,0,0,,https://vapeuk.co.uk/bloody-mary-bloody-bar-3000-disposable-kit,,,,2710000000
30k puff vape,"Commercial, Informational",210,7,0.00,0.00,0,21,1,0,75,,https://vapeuk.co.uk/lost-mary-nera-30k-fullview-prefilled-pod-kit,https://www.vapeclub.co.uk/vape-kits/hyola/hyola-ultra-30k-vape-kit,,https://www.vapeshop.co.uk/collections/big-puff-vape-kits,1760000
30k vapes,"Commercial, Informational",210,5,0.00,0.00,0,11,2,0,0,,https://vapeuk.co.uk/lost-mary-nera-30k-fullview-prefilled-pod-kit,https://www.vapeclub.co.uk/vape-kits/hyola/hyola-ultra-30k-vape-kit,,,2080000
3200/4,Informational,210,16,0.00,0.00,0,27,25,0,0,,https://vapeuk.co.uk/elf-bar-4-in-1-prefilled-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/lost-mary-pods/lost-mary-4-in-1-pod-kit,,,247000
33 x 4,Informational,210,16,0.00,0.00,0,0,96,0,0,,,https://www.vapeclub.co.uk/vape-coils/smok/v8-baby-x4,,,8060000000
4 in 1 vapes,Commercial,210,14,0.00,0.00,0,15,18,23,21,,https://vapeuk.co.uk/pod-vape-kits/4-in-1-vapes,https://www.vapeclub.co.uk/vape-kits/4-in-1-vapes/,https://www.vapestore.co.uk/products/ivg-air-4-in-1-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/products/elfbar-4in1-vape-kit,19600000
40ml,Informational,210,13,0.00,0.02,0,12,0,0,0,,https://vapeuk.co.uk/e-liquids/shortfill-e-liquids/40ml-shortfill-e-liquids,,,,84900000
4in1 vape,Commercial,210,16,0.00,0.00,0,23,10,12,20,,https://vapeuk.co.uk/pod-vape-kits/4-in-1-vapes,https://www.vapeclub.co.uk/vape-pods/crystal/ske-crystal-4in1-pod-kit,https://www.vapestore.co.uk/products/ivg-2400-4in1-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/avomi-fliq-4in1-pod-kit,1890000
50k vape,"Commercial, Informational",210,9,0.00,0.00,0,1,3,69,0,,https://vapeuk.co.uk/pyne-pod-click-50k-prefilled-pod-kit,https://www.vapeclub.co.uk/vape-kits/pyne-pod/pyne-pod-click-50k-vape-kit,https://www.vapestore.co.uk/collections/pod-vape-kits-5000-puff-vape,,2390000
510 drip tip,Informational,210,7,0.00,0.00,0,27,37,0,0,,https://vapeuk.co.uk/cobra-resin-drip-tip-510-fitment,https://www.vapeclub.co.uk/vaping-accessories/drip-tips/vape-club-drip-tip-wide-bore,,,4000000
5mg vape juice,Commercial,210,6,0.00,0.00,0,11,2,1,52,,https://vapeuk.co.uk/e-liquids/elf-bar-elfliq-nic-salt-e-liquids,https://www.vapeclub.co.uk/e-liquids/5mg/,https://www.vapestore.co.uk/collections/e-liquid-5mg,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,1370000
600 puff vape equals how many cigarettes,Informational,210,3,0.00,0.00,0,69,0,0,0,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,,,,75
6000 lost mary,Informational,210,13,0.00,0.00,0,2,6,9,30,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/lost-mary-pods/lost-mary-bm6000-pod-kit,https://www.vapestore.co.uk/collections/brands-lost-mary-bm6000-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,10
6000 puff lost mary,"Commercial, Informational",210,14,0.00,0.55,0,4,3,6,14,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/lost-mary-pods/lost-mary-bm6000-pod-kit,https://www.vapestore.co.uk/collections/brands-lost-mary-bm6000-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,1740000
6000 vape,Informational,210,9,0.00,0.00,0,9,5,1,2,,https://vapeuk.co.uk/feoba-bar-pro-6000-prefilled-kit,https://www.vapeclub.co.uk/vape-kits/6000-puffs/,https://www.vapestore.co.uk/collections/pod-vape-kits-6000-puff-vape,https://www.vapeshop.co.uk/products/hayati-pro-max-6000-puffs,7260000
6mg snus,"Commercial, Informational",210,11,0.00,0.00,0,29,1,0,0,,https://vapeuk.co.uk/zyn-nicotine-pouches,https://www.vapeclub.co.uk/nicotine-pouches/6mg-strength/,,,849000
7 000,Informational,210,20,0.00,0.00,0,0,66,0,0,,,https://www.vapeclub.co.uk/vape-kits/hula/hula-7000-puffs-pod-kit,,,10
70 35,Informational,210,7,0.00,0.00,0,0,68,0,0,,,https://www.vapeclub.co.uk/e-liquids/70-vg/,,,9
70/30 vape juice,"Commercial, Informational",210,9,0.00,0.00,0,41,2,34,30,,https://vapeuk.co.uk/e-liquids/shortfill-e-liquids,https://www.vapeclub.co.uk/e-liquids/70-vg/,https://www.vapestore.co.uk/collections/e-liquid-vape-type-high-pg-e-liquid,https://www.vapeshop.co.uk/products/pinkman-70-30-by-vampire-vape-10ml,779000
7000 x 12,Informational,210,26,0.00,0.00,0,0,58,0,0,,,https://www.vapeclub.co.uk/disposable-vape/lost-mary/hawcos-x-lost-mary/banana-ice-hawcos-x-lost-mary-promax-7000-disposable-vape,,,636000000
7days.co.uk reviews,Commercial,210,20,0.00,0.00,0,0,69,0,0,,,https://www.vapeclub.co.uk/,,,361000000
80 ml,Informational,210,22,0.00,0.00,0,5,0,20,0,,https://vapeuk.co.uk/e-liquids/shortfill-e-liquids/80ml-shortfill-e-liquids,,https://www.vapestore.co.uk/collections/e-liquid-vape-type-80ml-shortfill-eliquid,,2020000000
80 x 2,Informational,210,25,0.00,0.00,0,0,0,58,0,,,,https://www.vapestore.co.uk/products/voopoo-drag-x2-vape-kit-80w,,9390000000
80s mod,Informational,210,23,0.00,0.00,0,67,92,0,0,,https://vapeuk.co.uk/vaporesso-gen-80-s-mod,https://www.vapeclub.co.uk/vape-mods/vaporesso/vaporesso-gen-80-s-mod,,,25600000
88 nic,Informational,210,14,2.28,1.00,0,0,2,13,0,,,https://www.vapeclub.co.uk/nicotine-pouches/88nic/spearmint-88nic-pouch,https://www.vapestore.co.uk/products/88-nic-mixed-berries-nicotine-pouches,,10
88 vape juice,Navigational,210,22,0.00,0.00,0,33,4,7,39,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/e-liquids/88vape/,https://www.vapestore.co.uk/collections/brands-88vape-eliquid,https://www.vapeshop.co.uk/,72
88 vape liquid next day delivery,"Commercial, Informational",210,17,0.00,0.00,0,57,4,11,64,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/brands-88vape-eliquid,https://www.vapeshop.co.uk/,0
88 vape pen b&m,,210,14,0.00,0.00,0,0,9,0,0,,,https://www.vapeclub.co.uk/e-liquids/88vape/raspberry-ripple-any-tank,,,10
88 vape pods,"Informational, Transactional",210,15,0.00,0.00,0,0,6,36,0,,,https://www.vapeclub.co.uk/vape-pods/88vape-kits/fruits-edition-88vape-quad-pod,https://www.vapestore.co.uk/,,2020000
88vapes,Navigational,210,28,0.00,0.00,0,0,3,12,0,,,https://www.vapeclub.co.uk/e-liquids/88vape/,https://www.vapestore.co.uk/collections/brands-88vape-eliquid,,76
9pm.to alternative,Informational,210,27,0.00,0.00,0,77,0,0,0,,https://vapeuk.co.uk/zeus-juice-bar-liq-minty-menthol-nic-salt,,,,90
a kit,Informational,210,37,0.62,0.05,0,94,0,0,0,,https://vapeuk.co.uk/how-to-choose-a-vape-kit,,,,4060000000
advanced disposables,Navigational,210,26,1.07,1.00,0,51,93,77,0,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeclub.co.uk/vape-kits/,https://www.vapestore.co.uk/,,97
advanced fruit dealer stock right now,"Informational, Transactional",210,44,0.00,0.00,0,0,0,24,0,,,,https://www.vapestore.co.uk/,,1760000
advanced vapes,"Commercial, Navigational",210,15,0.00,0.00,0,65,49,2,35,,https://vapeuk.co.uk/vape-kits,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/vape-kits-mods-vape-kits-advanced-vape-kits,https://www.vapeshop.co.uk/collections/advanced-vape-kits,4420000
aero bar calories,Informational,210,20,0.00,0.54,0,61,0,0,0,,https://vapeuk.co.uk/,,,,73
air up flavor pods,"Informational, Transactional",210,23,0.36,1.00,0,0,64,46,0,,,https://www.vapeclub.co.uk/vape-kits/big-puff/,https://www.vapestore.co.uk/,,92
air vapes,"Commercial, Informational",210,37,0.00,0.00,0,22,0,21,5,,https://vapeuk.co.uk/ivg-air-4-in-1-prefilled-pod-kit,,https://www.vapestore.co.uk/collections/brands-ivg-ivg-air,https://www.vapeshop.co.uk/collections/ivg-air,20200000
al fakher 15k,"Commercial, Informational",210,3,0.00,0.00,0,5,0,0,0,,https://vapeuk.co.uk/al-fakher-crown-bar-hypermax-15k-disposable-kit,,,,471000
al fakher vape 15000 puffs,"Commercial, Informational",210,1,0.00,0.00,0,40,0,0,0,,https://vapeuk.co.uk/al-fakher-crown-bar-hypermax-15k-disposable-kit,,,,609000
alien ecig,"Commercial, Informational",210,8,0.00,0.00,0,0,0,43,0,,,,https://www.vapestore.co.uk/products/alien-220-mod-smok,,287000
amazon delivery by 10pm uk,Informational,210,33,0.53,0.07,0,0,36,0,0,,,https://www.vapeclub.co.uk/,,,2430000
amber heets,Informational,210,11,0.00,0.00,0,0,0,0,6,,,,,https://www.vapeshop.co.uk/products/amber-heets-by-iqos,1100000
amelia pearl terea,Informational,210,14,0.00,0.01,0,0,0,0,47,,,,,https://www.vapeshop.co.uk/products/amelia-pearl-for-iqos-iluma,25100
anarchist a,Informational,210,14,0.00,0.01,0,43,0,0,0,,https://vapeuk.co.uk/e-liquids/anarchist-e-liquids,,,,20200000
angel 2400,Informational,210,9,0.00,0.00,0,1,16,0,24,,https://vapeuk.co.uk/vapes-bars-angel-2400-prefilled-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/vapesbars/vapes-bars-angel-2400-disposable-vape-kit,,https://www.vapeshop.co.uk/products/angel-2400-kit-by-vapes-bars,20000000
angel number 5050,Informational,210,9,0.00,0.00,0,88,0,0,0,,https://vapeuk.co.uk/zeus-juice-bar-liq-grape-ice-nic-salt,,,,100
apple shop croydon,Navigational,210,53,0.00,0.49,0,0,0,86,0,,,,https://www.vapestore.co.uk/,,5070000
apple tunbridge wells,Informational,210,28,0.00,0.33,0,0,0,54,0,,,,https://www.vapestore.co.uk/,,1300000
arco watford,"Informational, Transactional",210,19,2.27,0.44,0,0,39,0,0,,,https://www.vapeclub.co.uk/,,,66
are rechargeable vapes banned,Informational,210,16,0.00,0.00,0,48,11,37,0,,https://vapeuk.co.uk/blog/disposable-vape-ban-update,https://www.vapeclub.co.uk/how-to-vape-guide/disposable-vape-ban-2025,https://www.vapestore.co.uk/blogs/new-vaping-and-e-cig-products/single-use-disposable-vape-ban,,580000
are royal mail delivery today,Informational,210,56,0.00,0.00,0,68,0,0,0,,https://vapeuk.co.uk/royal-mail-tracked-24-guidelines,,,,102000000
are they banning vapes in the uk,Informational,210,46,0.00,0.00,0,0,29,0,0,,,https://www.vapeclub.co.uk/how-to-vape-guide/disposable-vape-ban-2025,,,9040000
argos vape,"Informational, Transactional",210,13,0.00,0.00,0,4,16,24,43,,https://vapeuk.co.uk/voopoo-argus-p2-pod-vape-kit,https://www.vapeclub.co.uk/vape-pods/voopoo/voopoo-argus-g2-vape-kit,https://www.vapestore.co.uk/products/voopoo-argus-pro-2-kit-80w,https://www.vapeshop.co.uk/collections/voopoo,90
argus a,"Commercial, Informational",210,9,0.00,0.01,0,1,2,31,13,,https://vapeuk.co.uk/voopoo-argus-a-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/voopoo/voopoo-argus-a-vape-kit,https://www.vapestore.co.uk/products/voopoo-argus-a-vape-kit-30w,https://www.vapeshop.co.uk/products/voopoo-argus-a-vape-kit,49900000
argus bar,Informational,210,9,0.94,1.00,0,4,2,43,0,,https://vapeuk.co.uk/voopoo-argus-bar-prime-prefilled-pod-kit,https://www.vapeclub.co.uk/vape-kits/voopoo/voopoo-argusbar-neon-2k-vape-kit,https://www.vapestore.co.uk/collections/brands-voopoo-argus-series,,13300000
argus pro,Informational,210,16,0.00,0.00,0,2,5,6,0,,https://vapeuk.co.uk/voopoo-argus-pro-2-pod-vape-kit,https://www.vapeclub.co.uk/vape-pods/voopoo/argus-pro-kit,https://www.vapestore.co.uk/products/voopoo-argus-pro-2-kit-80w,,30000000
